asin	itemID
B00001EYSC	148
B000032TSM	149
B0000G1HJH	150
B00009GVPH	151
B0000MVCCW	152
B00000ANUV	153
B00005XYI6	154
B0000XKB7N	155
B00006F8BO	156
B00006GY4S	157
B0000G7WBX	158
B00007WCGJ	159
B0000C1V9G	160
B00009FD82	161
B0000QF8QO	162
B00000PP2P	163
B0000I3RIQ	164
B0000S3PJR	165
B0000MANDO	166
B00000NN8U	167
B0000TZHKA	168
B0000G4M7L	169
B00007BVCC	170
B0000DPBJX	171
B0000PTCLA	172
B0000Z7LOT	173
B00003PUGT	174
B0000J1ONZ	175
B0000CN8Z1	176
B0000MDHP3	177
B0000QXH9R	178
B00006DH31	179
B0000KLB5Y	180
B00008P59L	181
B0000UMYSL	182
B0000XLHZ6	183
B0000GZ4CH	184
B00001FWLQ	185
B0000FYDQL	186
B0000F8LLT	187
B0000G2SAV	188
B0000PKSYA	189
B0000C6X3Z	190
B0000LND5V	191
B0000R4NVS	192
B00002PYVR	193
B00008T3EK	194
B000089L5S	195
B00007Y3YV	196
B00006HN5M	197
B0000L9NJR	198
B000044QYE	199
B0000EE5HW	200
B0000P698B	201
B0000FJQBL	202
B00003NVZC	203
B000096TXI	204
B0000WDZ5Q	205
B00007182C	206
B0000RUPNM	207
B0000L77PR	208
B0000RLZQK	209
B00006J3FI	210
B00004H9OX	211
B00005ARDQ	212
B0000UN78I	213
B0000FPZ16	214
B0000QC2SQ	215
B0000HY70F	216
B0000T18MR	217
B0000JBCEM	218
B000014765	219
B0000TW1XX	220
B0000TJA3R	221
B0000UX8EI	222
B0000ZEA0M	223
B0000CZM9J	224
B00006F02T	225
B0000YPQYG	226
B0000PMZPL	227
B0000913P0	228
B0000AT3VZ	229
B0000P7150	230
B0000OFQIL	231
B0000DMW1O	232
B0000STU8A	233
B0000GIDSL	234
B0000Z87AI	235
B0000K5RL6	236
B0000HMHOX	237
B0000ZSMPJ	238
B0000AVGFH	239
B0000FTV6N	240
B00001EHU4	241
B0000P1MHV	242
B0000B9EX4	243
B00009YUQM	244
B0000QQUCA	245
B00009W3W5	246
B00002I27D	247
B0000Q9DQB	248
B0000XGB11	249
B0000STREZ	250
B00007ULPV	251
B0000SB9Z2	252
B00006ZVZB	253
B0000NPC64	254
B00005K3FZ	255
B0000FFXYK	256
B0000MFH4P	257
B0000KQSA0	258
B0000CD7P9	259
B0000L9OB0	260
B000081CT3	261
B00004NY8Y	262
B0000AE4Y2	263
B0000VOURX	264
B00006Q7IG	265
B0000WGWD1	266
B0000QS2VK	267
B0000KRNE0	268
B0000TVOOA	269
B0000IS4KF	270
B0000CW3EU	271
B0000HWOZ1	272
B00008AACF	273
B00002PI4L	274
B0000DNY68	275
B00000COB3	276
B000098CTL	277
B0000XIDMD	278
B0000Z4NL2	279
B00002QR67	280
B000037R71	281
B0000V7A3K	282
B0000RYZPW	283
B00000YGO0	284
B0000TWRCX	285
B0000N3XO5	286
B00006H17P	287
B0000V6CRI	288
B0000F2W28	289
B000010PUP	290
B00002HU0B	291
B0000GVDTQ	292
B0000B43EJ	293
B0000JR6JG	294
B0000ZALZF	295
B0000D1IIR	296
B0000TB2LL	297
B0000GSAH6	298
B000047HLV	299
B000012HEU	300
B0000T3C2H	301
B000073CAB	302
B0000E6YGV	303
B000028VPH	304
B0000NOUWG	305
B0000LAD8B	306
B00000PR97	307
B0000TND7E	308
B0000BD0YN	309
B0000RIKUZ	310
B0000AD5G1	311
B0000CWFTK	312
B0000B8E0F	313
B00005P2WY	314
B0000SJIXH	315
B0000PUST1	316
B0000U1PHC	317
B0000E722E	318
B0000SMF33	319
B0000Q3DTS	320
B0000VHN8A	321
B0000HYG0G	322
B0000A6Y0F	323
B00002GPJ8	324
B0000VZ9DM	325
B00003XQPR	326
B0000HZFF9	327
B00002OEHO	328
B0000JVD7K	329
B00007GCLC	330
B0000X6H5L	331
B0000GA80G	332
B0000K9XFK	333
B0000S44RP	334
B0000DV6H3	335
B0000FVX5L	336
B0000KG2H8	337
B0000Y3V19	338
B0000VF750	339
B0000M54U6	340
B0000AWQLG	341
B0000LNGU5	342
B0000PLTSG	343
B0000HS136	344
B0000E07PP	345
B00002YFLS	346
B0000A5H8I	347
B0000K6HN4	348
B0000GUCMH	349
B00003IT2D	350
B00000SH6S	351
B0000ADMBO	352
B0000LN4SH	353
B0000R9DKC	354
B0000XBYG1	355
B000061WWL	356
B0000T1TEJ	357
B00004WTLN	358
B0000D92H8	359
B0000P7PR7	360
B0000LX89E	361
B0000C4WXD	362
B0000LIQQQ	363
B0000YLLBS	364
B0000W1ML7	365
B0000GKWI7	366
B0000A8RNQ	367
B0000QV1VV	368
B00009M7ZC	369
B0000DU1MS	370
B00002NMTT	371
B0000WNGS2	372
B00006N04I	373
B00009H1VF	374
B0000LYM4U	375
B0000SM0TY	376
B00009817I	377
B0000KD4QX	378
B00006T907	379
B0000FYKUX	380
B00006V5OW	381
B0000BRH7Q	382
B000028IC7	383
B0000ML76Z	384
B0000T10BG	385
B0000A8H81	386
B000088GOD	387
B00008FCL1	388
B0000T6M6R	389
B0000OZ0DI	390
B0000UQ4O3	391
B0000N0KDK	392
B0000ROF7K	393
B00003CISC	394
B0000V8VDA	395
B00007XMO2	396
B0000NDDB0	397
B0000DOJJ0	398
B0000YVXXY	399
B0000GKF8X	400
B0000JNWCA	401
B00006YJ4L	402
B0000ODDZX	403
B0000K2SI7	404
B0000MXV86	405
B000011ACL	406
B0000BYS9C	407
B0000RQ6NY	408
B0000ORDU5	409
B000001XHG	410
B0000W0P7D	411
B0000BC3M4	412
B0000LUTX4	413
B0000DAVVV	414
B0000GYJNM	415
B0000JPLR7	416
B0000K9QDC	417
B00004DKSA	418
B0000OQP3Q	419
B0000FNIO7	420
B0000GC1CA	421
B0000NQVI4	422
B00006YN69	423
B000008T2X	424
B0000KR9SF	425
B0000L0XVI	426
B0000PNEU0	427
B0000M8R7M	428
B0000G6S1N	429
B0000DGT6U	430
B0000BP839	431
B0000PYCI5	432
B0000EX45J	433
B00002KGBH	434
